domain,ceiling_score,components,product_count,review_count_max,matched_app_keys,reviewer_category,reviewer_note
handmade-jewelry.store,2.0,"{""workaround_b2b"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_multistore"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_launch"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_discount"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_sso"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_intl"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""high_growth"": {""contribution"": 2.0, ""weight"": 2.0, ""active"": true, ""verified"": null, ""note"": null}, ""large_catalog"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""review_scale"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": ""null_input""}}",186,,,unknown,Not visited.
harathelabel.com,2.0,"{""workaround_b2b"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_multistore"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_launch"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_discount"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_sso"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_intl"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""high_growth"": {""contribution"": 2.0, ""weight"": 2.0, ""active"": true, ""verified"": null, ""note"": null}, ""large_catalog"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""review_scale"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": ""null_input""}}",149,,,unknown,Not visited.
kinsfolkshop.com,2.0,"{""workaround_b2b"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_multistore"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_launch"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_discount"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_sso"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_intl"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""high_growth"": {""contribution"": 2.0, ""weight"": 2.0, ""active"": true, ""verified"": null, ""note"": null}, ""large_catalog"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""review_scale"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}}",298,0,,unknown,Not visited.
laurelandblush.com,2.0,"{""workaround_b2b"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_multistore"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_launch"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_discount"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_sso"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_intl"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""high_growth"": {""contribution"": 2.0, ""weight"": 2.0, ""active"": true, ""verified"": null, ""note"": null}, ""large_catalog"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""review_scale"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": ""null_input""}}",396,,,unknown,Not visited.
papierdamour.com.au,2.0,"{""workaround_b2b"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_multistore"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_launch"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_discount"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_sso"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_intl"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""high_growth"": {""contribution"": 2.0, ""weight"": 2.0, ""active"": true, ""verified"": null, ""note"": null}, ""large_catalog"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""review_scale"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}}",383,4,,unknown,Not visited.
venilals.com,2.0,"{""workaround_b2b"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_multistore"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_launch"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_discount"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_sso"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_intl"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""high_growth"": {""contribution"": 2.0, ""weight"": 2.0, ""active"": true, ""verified"": null, ""note"": null}, ""large_catalog"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""review_scale"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": ""null_input""}}",338,,,unknown,Not visited.
cakebase.com.au,1.0,"{""workaround_b2b"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_multistore"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_launch"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_discount"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_sso"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_intl"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""high_growth"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": null}, ""large_catalog"": {""contribution"": 1.0, ""weight"": 1.0, ""active"": true, ""verified"": null, ""note"": null}, ""review_scale"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": ""null_input""}}",2147,,,unknown,Not visited.
ener-chi.co.uk,1.0,"{""workaround_b2b"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_multistore"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_launch"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_discount"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_sso"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_intl"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""high_growth"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": null}, ""large_catalog"": {""contribution"": 1.0, ""weight"": 1.0, ""active"": true, ""verified"": null, ""note"": null}, ""review_scale"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": ""null_input""}}",556,,,unknown,Not visited.
goodandwellsupplyco.com,1.0,"{""workaround_b2b"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_multistore"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_launch"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_discount"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_sso"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_intl"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""high_growth"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": null}, ""large_catalog"": {""contribution"": 1.0, ""weight"": 1.0, ""active"": true, ""verified"": null, ""note"": null}, ""review_scale"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}}",988,3,,unknown,Not visited.
handmade-studio.com,1.0,"{""workaround_b2b"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_multistore"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_launch"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_discount"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_sso"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_intl"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""high_growth"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": null}, ""large_catalog"": {""contribution"": 1.0, ""weight"": 1.0, ""active"": true, ""verified"": null, ""note"": null}, ""review_scale"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": ""null_input""}}",1446,,,unknown,Not visited.
abitterfeeling.com,0.0,"{""workaround_b2b"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_multistore"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_launch"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_discount"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_sso"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_intl"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""high_growth"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": null}, ""large_catalog"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""review_scale"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": ""null_input""}}",24,,,score_zero_not_flagged,Score 0. Not a false positive; the top-30 pull ran past the flagged set.
bathhousesoap.com,0.0,"{""workaround_b2b"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_multistore"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_launch"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_discount"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_sso"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_intl"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""high_growth"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": null}, ""large_catalog"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""review_scale"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": ""null_input""}}",225,,,score_zero_not_flagged,Score 0. Not a false positive.
candles-creations.com,0.0,"{""workaround_b2b"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_multistore"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_launch"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_discount"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_sso"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_intl"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""high_growth"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": null}, ""large_catalog"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""review_scale"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": ""null_input""}}",34,,,score_zero_not_flagged,Score 0. Not a false positive.
handmade-club.com,0.0,"{""workaround_b2b"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_multistore"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_launch"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_discount"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_sso"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_intl"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""high_growth"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": null}, ""large_catalog"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""review_scale"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": ""null_input""}}",40,,,score_zero_not_flagged,"Visited. One-person French dog accessories shop, 40 products. Score 0. Not a false positive."
